TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
775086|Lithobates chiricahuensis|(Platz and Mecham, 1979)|Species        |Reviewed|valid||
775086|Lithobates chiricahuensis|(Platz and Mecham, 1979)|Species        |Reviewed|valid||
775086|Lithobates chiricahuensis|(Platz and Mecham, 1979)|Species        |Reviewed|valid||
775087|Lithobates clamitans|(Latreille in Sonnini de Manoncourt and Latreille, 1801)|Species        |Reviewed|valid||
775087|Lithobates clamitans|(Latreille in Sonnini de Manoncourt and Latreille, 1801)|Species        |Reviewed|valid||
173438|Rana clamitans|Latreille in Sonnini de Manoncourt and Latreille, 1801|Species        |Reviewed|invalid|775087|Lithobates clamitans
173438|Rana clamitans|Latreille in Sonnini de Manoncourt and Latreille, 1801|Species        |Reviewed|invalid|775087|Lithobates clamitans
173438|Rana clamitans|Latreille in Sonnini de Manoncourt and Latreille, 1801|Species        |Reviewed|invalid|775087|Lithobates clamitans
173438|Rana clamitans|Latreille in Sonnini de Manoncourt and Latreille, 1801|Species        |Reviewed|invalid|775087|Lithobates clamitans
775087|Lithobates clamitans|(Latreille in Sonnini de Manoncourt and Latreille, 1801)|Species        |Reviewed|valid||
775090|Lithobates forreri|(Boulenger, 1883)|Species        |Reviewed|valid||
|Lithobates gryllio|||||
775102|Lithobates neovolcanicus|(Hillis and Frost, 1985)|Species        |Reviewed|valid||
173435|Rana palustris|LeConte, 1825|Species        |Reviewed|invalid|775107|Lithobates palustris
173435|Rana palustris|LeConte, 1825|Species        |Reviewed|invalid|775107|Lithobates palustris
775107|Lithobates palustris|(LeConte, 1825)|Species        |Reviewed|valid||
173435|Rana palustris|LeConte, 1825|Species        |Reviewed|invalid|775107|Lithobates palustris
173435|Rana palustris|LeConte, 1825|Species        |Reviewed|invalid|775107|Lithobates palustris
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
775108|Lithobates pipiens|(Schreber, 1782)|Species        |Reviewed|valid||
775108|Lithobates pipiens|(Schreber, 1782)|Species        |Reviewed|valid||
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
775108|Lithobates pipiens|(Schreber, 1782)|Species        |Reviewed|valid||
173443|Rana pipiens|Schreber, 1782|Species        |Reviewed|invalid|775108|Lithobates pipiens
775108|Lithobates pipiens|(Schreber, 1782)|Species        |Reviewed|valid||
|Rana septenrionalis|||||
775115|Lithobates spectabilis|(Hillis and Frost, 1985)|Species        |Reviewed|valid||
775116|Lithobates sphenocephalus|(Cope, 1886)|Species        |Reviewed|valid||
775116|Lithobates sphenocephalus|(Cope, 1886)|Species        |Reviewed|valid||
775116|Lithobates sphenocephalus|(Cope, 1886)|Species        |Reviewed|valid||
173440|Rana sylvatica|LeConte, 1825|Species        |Reviewed|invalid|775117|Lithobates sylvaticus
775117|Lithobates sylvaticus|(LeConte, 1825)|Species        |Reviewed|valid||
775117|Lithobates sylvaticus|(LeConte, 1825)|Species        |Reviewed|valid||
775117|Lithobates sylvaticus|(LeConte, 1825)|Species        |Reviewed|valid||
775117|Lithobates sylvaticus|(LeConte, 1825)|Species        |Reviewed|valid||
775117|Lithobates sylvaticus|(LeConte, 1825)|Species        |Reviewed|valid||
173440|Rana sylvatica|LeConte, 1825|Species        |Reviewed|invalid|775117|Lithobates sylvaticus
173440|Rana sylvatica|LeConte, 1825|Species        |Reviewed|invalid|775117|Lithobates sylvaticus
173440|Rana sylvatica|LeConte, 1825|Species        |Reviewed|invalid|775117|Lithobates sylvaticus
173440|Rana sylvatica|LeConte, 1825|Species        |Reviewed|invalid|775117|Lithobates sylvaticus
775117|Lithobates sylvaticus|(LeConte, 1825)|Species        |Reviewed|valid||
173440|Rana sylvatica|LeConte, 1825|Species        |Reviewed|invalid|775117|Lithobates sylvaticus
775125|Lithobates yavapaiensis|(Platz and Frost, 1984)|Species        |Reviewed|valid||
168160|Micropterus salmoides|(Lacepède, 1802)|Species        |Reviewed|valid||
180305|Microtus californicus|(Peale, 1848)|Species        |Reviewed|valid||
180312|Microtus ochrogaster|(Wagner, 1842)|Species        |Reviewed|valid||
|Microtus (Mynomes) oregoni|||||
|Microtus (Pitymys) quasiater|||||
180316|Microtus townsendii|(Bachman, 1839)|Species        |Reviewed|valid||
180316|Microtus townsendii|(Bachman, 1839)|Species        |Reviewed|valid||
170336|Mugil curema|Valenciennes in Cuvier and Valenciennes, 1836|Species        |Reviewed|valid||
180366|Mus musculus|Linnaeus, 1758|Species        |Reviewed|valid||
163368|Notemigonus crysoleucas|(Mitchill, 1814)|Species        |Reviewed|valid||
776886|Notophthalmus meridionalis kallerti|(Wolterstorff, 1930)|Subspecies     |Reviewed|invalid|173617|Notophthalmus meridionalis
173615|Notophthalmus viridescens|(Rafinesque, 1820)|Species        |Reviewed|valid||
173615|Notophthalmus viridescens|(Rafinesque, 1820)|Species        |Reviewed|valid||
173615|Notophthalmus viridescens|(Rafinesque, 1820)|Species        |Reviewed|valid||
163446|Notropis heterolepis|Eigenmann and Eigenmann, 1893|Species        |Reviewed|valid||
161989|Oncorhynchus mykiss|(Walbaum, 1792)|Species        |Reviewed|valid||
161989|Oncorhynchus mykiss|(Walbaum, 1792)|Species        |Reviewed|valid||
161989|Oncorhynchus mykiss|(Walbaum, 1792)|Species        |Reviewed|valid||
161989|Oncorhynchus mykiss|(Walbaum, 1792)|Species        |Reviewed|valid||
163589|Orthodon microlepidotus|(Ayres, 1854)|Species        |Reviewed|valid||
173538|Osteopilus septentrionalis|(Duméril and Bibron, 1841)|Species        |Reviewed|valid||
173538|Osteopilus septentrionalis|(Duméril and Bibron, 1841)|Species        |Reviewed|valid||
179464|Passerella iliaca|(Merrem, 1786)|Species        |Reviewed|valid||
180278|Peromyscus leucopus|(Rafinesque, 1818)|Species        |Reviewed|valid||
180276|Peromyscus maniculatus|(Wagner, 1845)|Species        |Reviewed|valid||
180276|Peromyscus maniculatus|(Wagner, 1845)|Species        |Reviewed|valid||
568101|Planorbella subcrenata|(Carpenter, 1857)|Species        |Reviewed|valid||
1181812|Plestiodon brevirostris|(Günther, 1860)|Species        |Reviewed|valid||
208278|Plethodon albagula|Grobman, 1944|Species        |Reviewed|valid||
208281|Plethodon chattahoochee|Highton in Highton, Maha and Maxson, 1989|Species        |Reviewed|valid||
208282|Plethodon chlorobryonis|Mittleman, 1951|Species        |Reviewed|valid||
173649|Plethodon cinereus|(Green, 1818)|Species        |Reviewed|valid||
173649|Plethodon cinereus|(Green, 1818)|Species        |Reviewed|valid||
173649|Plethodon cinereus|(Green, 1818)|Species        |Reviewed|valid||
173649|Plethodon cinereus|(Green, 1818)|Species        |Reviewed|valid||
173649|Plethodon cinereus|(Green, 1818)|Species        |Reviewed|valid||
173649|Plethodon cinereus|(Green, 1818)|Species        |Reviewed|valid||
173649|Plethodon cinereus|(Green, 1818)|Species        |Reviewed|valid||
|Plethodon glutinosus|||||
|Plethodon glutinosus|||||
173650|Plethodon glutinosus|(Green, 1818)|Species        |Reviewed|valid||
|Plethodon glutinosus|||||
173650|Plethodon glutinosus|(Green, 1818)|Species        |Reviewed|valid||
|Plethodon glutinosus|||||
173659|Plethodon idahoensis|Slater and Slipp, 1940|Species        |Reviewed|valid||
173659|Plethodon idahoensis|Slater and Slipp, 1940|Species        |Reviewed|valid||
173659|Plethodon idahoensis|Slater and Slipp, 1940|Species        |Reviewed|valid||
208289|Plethodon mississippi|Highton in Highton, Maha and Maxson, 1989|Species        |Reviewed|valid||
