Prey Highest,Prey Higher,Prey Phylum,Prey Class,Prey Order,Prey Family,Prey Genus,Prey Species,Prey Species Current,Prey Species ID #,Prey Count,Snake Species,Snake Subspecies,FullSpName,Snake Species ID #,Snake Age Class,Snake SVL(mm),Snake Sex,Location,Latitude,Longitude,Citation,Full Citation,Reference DOI
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma velasci,Ambystoma velasci,ITIS:586248,1,Thamnophis cyrtopsis, cyrtopsis,Thamnophis cyrtopsis cyrtopsis,ITIS:209108,Adult,592,Female,"San Jose de Gonzalez, Galeana, Nuevo Leon",24.47847,-100.48846,Banda-Leal et al 2014,"Banda-Leal, J., Lazcano, D., Nevarez de los Reyes, M., Aguilera, C., Luna-Pena, S. (2014). AMBYSTOMA VELASCI (Plateau Tiger Salamander). PREDATION. Herpetological Review 45(4): 675-676",
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma ordinarium,Ambystoma ordinarium,ITIS:586245,1,Thamnophis cyrtopsis, collaris,Thamnophis cyrtopsis collaris,ITIS:563943,Adult,450,,"Morelia, Michoacan",19.67226,-101.1455,Garrido et al 2016,"Garcia-Garrido, P., Alvarado-Diaz, J., Suazo-Ortuno, I. (2016). Ambystoma ordinarium. Predation by a Black-necked Gartersnake (Thamnophis cyrtopsis). Mesoamerican Herpetology 3(2): 461-463",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates chiricahuensis,Lithobates chiricahuensis,ITIS:775086,1,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,Adult,500,,"Gardner Canyon, Arizona",31.71155,110.75695,McCall et al 2017,"McCall, H., Akins, C., Mosley, C. 2017. THAMNOPHIS CYRTOPSIS (Black-necked Gartersnake). DIET AND SEASONAL ACTIVITY. Herpetological Review 48(1), 2017.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates chiricahuensis,Lithobates chiricahuensis,ITIS:775086,2,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,Adult,650,,"Greaterville, Arizona",31.76755,110.75961,McCall et al 2017,"McCall, H., Akins, C., Mosley, C. 2017. THAMNOPHIS CYRTOPSIS (Black-necked Gartersnake). DIET AND SEASONAL ACTIVITY. Herpetological Review 48(1), 2017.",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus woodhousii woodhousii,Anaxyrus woodhousii woodhousii,ITIS:776698,1,Thamnophis cyrtopsis, cyrtopsis,Thamnophis cyrtopsis cyrtopsis,ITIS:209108,,,,"Baca County, Colorado",37.13524,-103.0153,Cordes et al 2019,"Cordes, J., Walker, J. Montgomery, C. THAMNOPHIS CYRTOPSIS CYRTOPSIS ( Western Black-necked Gartersnake). PREY CAPTURE AND HANDLING. 2019. Herpetological Review 50(4): 813-814",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus compactilis,Anaxyrus compactilis,ITIS:773517,2,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus punctatus,Anaxyrus punctatus,ITIS:773527,4,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla arenicolor,Dryophytes arenicolor,ITIS:1095296,1,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla arenicolor,Dryophytes arenicolor,ITIS:1095296,15,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus marnocki,Eleutherodactylus marnockii,ITIS:550240,1,Thamnophis cyrtopsis,,Thamnophis cyrtopsis,ITIS:174141,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
